OffsetMethod,ProjectLocation,VerificationStatus,TechnologyUsed,EmissionReduction,ProjectSize,CarbonCreditPrice
Energy Efficiency,USA,Rejected,Wind,4765.74295724183,57.119901270091574,51.39991379891006
Reforestation,China,Pending,Biomass,9793.13888635003,491.604633653782,83.88174076828797
Afforestation,India,Rejected,Solar,6378.007169127794,927.1835182295689,59.161871027934666
Energy Efficiency,India,Rejected,Biomass,1350.0209414885771,106.28782488969742,27.81298295633986
Energy Efficiency,India,Verified,Wind,6794.157864546796,764.6762873474288,78.61755219620827
Reforestation,India,Verified,Biomass,3318.52975277382,410.26138232261667,52.69526258709527
Afforestation,Brazil,Rejected,Hydro,6894.639247192365,655.5185408098137,58.02838164405996
Afforestation,India,Verified,Solar,789.4473668078168,260.97636138724414,39.55700044791153
Energy Efficiency,Brazil,Pending,Wind,1831.3262280419979,160.33277027881692,43.75995884299816
Renewable Energy,Brazil,Pending,Wind,8571.798863167285,161.3021516569552,82.47201583240599
Energy Efficiency,India,Verified,Wind,2349.0776145327973,71.4214536975015,49.459602609639006
Energy Efficiency,India,Pending,Solar,8386.707139905107,186.46105819634178,76.79814628148895
Energy Efficiency,USA,Verified,Hydro,2864.8332756986633,664.5551656039793,61.96971803453311
Energy Efficiency,China,Rejected,Wind,6464.530909581205,881.8089212316645,66.14074376022268
Reforestation,India,Rejected,Biomass,6972.090677747327,814.3115599055707,60.00356898779234
Afforestation,USA,Pending,Wind,5175.282056136024,685.4491755646096,64.73090203632621
Reforestation,USA,Verified,Wind,3122.57569929764,111.32143154769157,55.72609281196512
Reforestation,China,Verified,Wind,2205.179326073852,289.89825884965387,50.9248792188658
Reforestation,Brazil,Pending,Wind,428.5746101680196,310.4970684471465,35.24784373531156
Energy Efficiency,India,Rejected,Hydro,3109.0693722831656,250.7069894512236,39.052416755928064
Renewable Energy,China,Pending,Biomass,6566.311626259701,515.4906540500134,75.98646467179864
Afforestation,India,Rejected,Hydro,9389.217702639979,536.0182610647929,68.30627112384784
Renewable Energy,USA,Verified,Biomass,8724.924374404214,357.5290891959391,92.19991276398046
Reforestation,USA,Rejected,Wind,7684.041287699496,354.4353695776996,65.96456013427448
Reforestation,Brazil,Pending,Solar,7905.628698207657,828.7270423081753,78.81541391412004
Renewable Energy,USA,Verified,Hydro,6683.350544412353,789.5035554713659,87.31178827677542
Renewable Energy,USA,Pending,Solar,2676.8398899034296,308.4880358490649,59.4690798080078
Renewable Energy,China,Pending,Hydro,9081.230803987715,913.874655429386,93.54490057423243
Reforestation,India,Rejected,Wind,6740.249887867757,952.8622019855035,62.229871459193824
Reforestation,India,Pending,Hydro,5648.362246706355,327.4157994880108,59.51596922841189
Afforestation,China,Rejected,Wind,1198.7957452134626,355.0705238442618,29.54468396450993
Afforestation,Brazil,Verified,Hydro,4525.849883683612,506.1285192685369,59.69053461110343
Reforestation,India,Rejected,Wind,4657.54688489907,941.1796917211399,51.69953134170675
Renewable Energy,USA,Verified,Wind,8659.179734274432,876.4431137091692,99.06032980846385
Renewable Energy,India,Rejected,Biomass,5511.817379859106,103.46539462100621,53.59374084550559
Afforestation,USA,Pending,Wind,3865.9654348070553,393.3380125281448,55.263207299316726
Reforestation,Brazil,Rejected,Biomass,9770.323252255528,553.817818560022,72.38979444687786
Afforestation,China,Rejected,Wind,1196.1338739305252,503.6293400789885,31.01696277044251
Afforestation,India,Verified,Solar,4283.229440288252,194.66920486895577,56.36283925013082
Energy Efficiency,China,Pending,Wind,516.0442841969124,858.9579543969866,46.169800964954426
Energy Efficiency,India,Rejected,Solar,7425.0507955926105,677.2638422138405,66.89789240010145
Energy Efficiency,USA,Pending,Solar,9188.95786677159,838.0704664769518,92.32549399862748
Renewable Energy,China,Rejected,Wind,2872.3695625498453,858.9055150701228,52.95090296345045
Reforestation,India,Rejected,Solar,8597.582600311296,748.607497812074,70.47398797967722
Reforestation,USA,Pending,Biomass,2992.960481572788,439.7713906484676,51.36251631434862
Reforestation,China,Rejected,Hydro,9116.624600274761,610.9362082604091,72.6924850839779
Reforestation,China,Pending,Wind,7564.222845608161,161.20504071362342,71.43316463517704
Energy Efficiency,India,Rejected,Solar,8068.577090730242,673.9717720574328,70.08260317422554
Renewable Energy,India,Verified,Wind,278.2649004444995,180.07400248354148,45.19206452705791
Renewable Energy,India,Pending,Biomass,9631.822535032858,694.2556409196467,90.10166908436075
Energy Efficiency,USA,Rejected,Wind,7294.0428214962,230.3685625932147,65.77389973341315
Renewable Energy,India,Rejected,Wind,3117.0358443227196,118.43374885006975,43.769516710114296
Energy Efficiency,China,Verified,Solar,8311.007182102585,166.1192056528145,84.21622796704108
Reforestation,China,Pending,Biomass,2887.0598643078065,2.9901430838511978,44.46520075237754
Energy Efficiency,India,Rejected,Hydro,8740.263011704666,719.0208782356767,71.8915238408801
Reforestation,India,Verified,Hydro,1214.5458650781763,732.6686480093207,46.39941580548409
Reforestation,Brazil,Rejected,Solar,7066.491176861878,515.4184165633462,61.48664004994285
Afforestation,China,Pending,Wind,5452.914918784612,162.2014382543283,58.88658897646634
Energy Efficiency,USA,Rejected,Solar,1055.691254934864,84.47078317317906,34.12316410640611
Afforestation,Brazil,Rejected,Solar,2494.748899762506,20.109837470849723,31.67484287352103
Energy Efficiency,India,Rejected,Solar,222.7999591454164,166.5824287882555,25.779824083609636
Energy Efficiency,India,Rejected,Wind,4740.802858098607,890.9646794481636,54.61366108497467
Afforestation,China,Verified,Biomass,3082.5260815240035,242.2953048599801,50.83558345621982
Afforestation,India,Verified,Solar,6023.739094547812,354.91705588999844,66.66786603163905
Energy Efficiency,USA,Pending,Wind,3042.65429631531,106.24013899685185,53.27567287154507
Renewable Energy,China,Verified,Biomass,3069.1992039191487,223.1389434434221,60.577385454029965
Reforestation,India,Verified,Solar,7457.612667442873,519.7053462094249,77.48511679930861
Afforestation,China,Pending,Hydro,576.6140761856991,608.144930412557,37.964519685054064
Reforestation,India,Verified,Biomass,9038.660452400674,246.10696185204486,79.65437188052383
Renewable Energy,India,Verified,Solar,8537.412356472696,58.67442706589209,86.2738060530224
Renewable Energy,India,Pending,Biomass,6711.266363941424,391.64183625827127,72.47275018228983
Renewable Energy,USA,Pending,Biomass,5972.893544063105,234.9691675554078,72.2141593958696
Afforestation,USA,Pending,Biomass,8933.794731582557,220.33436930657214,76.8723173509785
Renewable Energy,China,Rejected,Biomass,1934.768777334273,959.9029399107418,47.272873285778786
Afforestation,India,Rejected,Biomass,881.7947056892033,616.6841854397983,25.575815382844
Renewable Energy,India,Pending,Biomass,2471.1506821044272,557.3215647289238,52.92896905781137
Reforestation,USA,Pending,Solar,7966.324959131884,416.3593284197986,78.99521807985741
Reforestation,India,Pending,Hydro,443.2356405921849,429.5153890967141,34.51133209392806
Energy Efficiency,USA,Rejected,Wind,5869.787667326547,541.3640988342428,61.762579324975164
Reforestation,India,Rejected,Biomass,9954.831410293968,696.7333772290712,73.74149082376056
Energy Efficiency,China,Verified,Wind,8571.39132899164,702.4439500856477,89.88139614581468
Reforestation,India,Verified,Solar,5262.312321531535,172.52221379774412,63.03678374563512
Afforestation,India,Pending,Biomass,730.0450019377593,500.61263932455034,33.6563514029343
Reforestation,Brazil,Rejected,Hydro,8330.597792418528,412.5461369390679,64.77845033148333
Energy Efficiency,USA,Rejected,Wind,6029.887230954384,870.6564393031148,65.85600054780306
Energy Efficiency,India,Rejected,Biomass,1237.8366708897117,631.787502297158,32.50705837742014
Renewable Energy,India,Pending,Solar,1029.1871197512264,532.9715623495658,48.47565122225179
Afforestation,Brazil,Verified,Hydro,9105.305512422265,116.27924753673845,78.68932003747871
Reforestation,Brazil,Pending,Wind,6725.082603086977,606.032251434088,69.68573552977577
Renewable Energy,USA,Verified,Wind,8309.93931323588,118.08670177455319,89.73056358392493
Reforestation,Brazil,Verified,Biomass,8801.891112794447,337.86936899018633,80.3881492538741
Reforestation,China,Pending,Hydro,5760.54628527839,143.69912284951752,61.239722654887125
Renewable Energy,Brazil,Verified,Hydro,5222.718882374908,692.3815733773446,75.03741014564798
Renewable Energy,China,Verified,Hydro,4361.231362177803,207.04586172231646,67.87661542811217
Renewable Energy,USA,Rejected,Hydro,3237.771219132081,392.46751381483796,51.113531233808786
Renewable Energy,USA,Verified,Solar,4402.500012501247,895.7791028411599,78.97029109091784
Renewable Energy,USA,Pending,Hydro,7761.408591728548,205.1120670155713,81.85816362879845
Reforestation,USA,Pending,Wind,6059.041967049802,508.29725889482035,69.3781824241972
Renewable Energy,USA,Verified,Wind,8935.980570552976,419.852389504856,95.87842674781345
Afforestation,China,Rejected,Solar,4489.462142353958,19.105917004684002,43.63836988181663
